Epoch 68/150 | Train Loss: 0.0932 (KL: 0.0126) | Val Loss: 0.0904 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0028 | Epoch Time: 9.37s | Total Time: 639.03s
Epoch 69/150 | Train Loss: 0.0932 (KL: 0.0127) | Val Loss: 0.0905 (KL: 0.0090) | KLw: 0.100 | Loss Diff : 0.0027 | Epoch Time: 9.36s | Total Time: 648.40s
Epoch 70/150 | Train Loss: 0.0921 (KL: 0.0119) | Val Loss: 0.0899 (KL: 0.0085) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.37s | Total Time: 657.77s
Epoch 71/150 | Train Loss: 0.0920 (KL: 0.0121) | Val Loss: 0.0901 (KL: 0.0093) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.38s | Total Time: 667.15s
Epoch 72/150 | Train Loss: 0.0919 (KL: 0.0121) | Val Loss: 0.0897 (KL: 0.0072) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.37s | Total Time: 676.52s
Epoch 73/150 | Train Loss: 0.0919 (KL: 0.0120) | Val Loss: 0.0898 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0021 | Epoch Time: 9.38s | Total Time: 685.90s
Epoch 74/150 | Train Loss: 0.0918 (KL: 0.0119) | Val Loss: 0.0898 (KL: 0.0111) | KLw: 0.100 | Loss Diff : 0.0020 | Epoch Time: 9.37s | Total Time: 695.27s
Epoch 75/150 | Train Loss: 0.0918 (KL: 0.0121) | Val Loss: 0.0895 (KL: 0.0087) | KLw: 0.100 | Loss Diff : 0.0023 | Epoch Time: 9.36s | Total Time: 704.64s
Epoch 76/150 | Train Loss: 0.0917 (KL: 0.0120) | Val Loss: 0.0901 (KL: 0.0077) | KLw: 0.100 | Loss Diff : 0.0017 | Epoch Time: 9.37s | Total Time: 714.01s
Epoch 77/150 | Train Loss: 0.0917 (KL: 0.0119) | Val Loss: 0.0897 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0020 | Epoch Time: 9.40s | Total Time: 723.41s
Epoch 78/150 | Train Loss: 0.0916 (KL: 0.0120) | Val Loss: 0.0900 (KL: 0.0070) | KLw: 0.100 | Loss Diff : 0.0017 | Epoch Time: 9.54s | Total Time: 732.95s
Epoch 79/150 | Train Loss: 0.0916 (KL: 0.0120) | Val Loss: 0.0907 (KL: 0.0069) | KLw: 0.100 | Loss Diff : 0.0009 | Epoch Time: 9.46s | Total Time: 742.41s
Epoch 80/150 | Train Loss: 0.0915 (KL: 0.0120) | Val Loss: 0.0898 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0017 | Epoch Time: 9.37s | Total Time: 751.78s
Epoch 81/150 | Train Loss: 0.0915 (KL: 0.0121) | Val Loss: 0.0895 (KL: 0.0070) | KLw: 0.100 | Loss Diff : 0.0020 | Epoch Time: 9.36s | Total Time: 761.14s
Epoch 82/150 | Train Loss: 0.0910 (KL: 0.0118) | Val Loss: 0.0891 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.37s | Total Time: 770.51s
Epoch 83/150 | Train Loss: 0.0908 (KL: 0.0116) | Val Loss: 0.0894 (KL: 0.0075) | KLw: 0.100 | Loss Diff : 0.0014 | Epoch Time: 9.37s | Total Time: 779.88s
Epoch 84/150 | Train Loss: 0.0908 (KL: 0.0116) | Val Loss: 0.0890 (KL: 0.0098) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.38s | Total Time: 789.26s
Epoch 85/150 | Train Loss: 0.0909 (KL: 0.0119) | Val Loss: 0.0891 (KL: 0.0086) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.38s | Total Time: 798.64s
Epoch 86/150 | Train Loss: 0.0908 (KL: 0.0117) | Val Loss: 0.0891 (KL: 0.0096) | KLw: 0.100 | Loss Diff : 0.0017 | Epoch Time: 9.38s | Total Time: 808.02s
Epoch 87/150 | Train Loss: 0.0907 (KL: 0.0116) | Val Loss: 0.0893 (KL: 0.0074) | KLw: 0.100 | Loss Diff : 0.0014 | Epoch Time: 9.37s | Total Time: 817.39s
Epoch 88/150 | Train Loss: 0.0907 (KL: 0.0117) | Val Loss: 0.0894 (KL: 0.0073) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.38s | Total Time: 826.77s
