Epoch 46/150 | Train Loss: 0.0974 (KL: 0.0140) | Val Loss: 0.0936 (KL: 0.0102) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.07s | Total Time: 435.74s
Epoch 47/150 | Train Loss: 0.0971 (KL: 0.0138) | Val Loss: 0.0942 (KL: 0.0071) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.07s | Total Time: 444.80s
Epoch 48/150 | Train Loss: 0.0971 (KL: 0.0137) | Val Loss: 0.0933 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.09s | Total Time: 453.89s
Epoch 49/150 | Train Loss: 0.0969 (KL: 0.0138) | Val Loss: 0.0932 (KL: 0.0096) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.09s | Total Time: 462.98s
Epoch 50/150 | Train Loss: 0.0967 (KL: 0.0138) | Val Loss: 0.0930 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0036 | Epoch Time: 9.06s | Total Time: 472.04s
Epoch 51/150 | Train Loss: 0.0965 (KL: 0.0136) | Val Loss: 0.0930 (KL: 0.0152) | KLw: 0.100 | Loss Diff : 0.0035 | Epoch Time: 9.07s | Total Time: 481.11s
Epoch 52/150 | Train Loss: 0.0965 (KL: 0.0136) | Val Loss: 0.0943 (KL: 0.0130) | KLw: 0.100 | Loss Diff : 0.0023 | Epoch Time: 9.05s | Total Time: 490.16s
Epoch 53/150 | Train Loss: 0.0962 (KL: 0.0136) | Val Loss: 0.0926 (KL: 0.0109) | KLw: 0.100 | Loss Diff : 0.0036 | Epoch Time: 9.07s | Total Time: 499.23s
Epoch 54/150 | Train Loss: 0.0962 (KL: 0.0139) | Val Loss: 0.0933 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.07s | Total Time: 508.31s
Epoch 55/150 | Train Loss: 0.0958 (KL: 0.0132) | Val Loss: 0.0939 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.08s | Total Time: 517.39s
Epoch 56/150 | Train Loss: 0.0958 (KL: 0.0135) | Val Loss: 0.0930 (KL: 0.0120) | KLw: 0.100 | Loss Diff : 0.0028 | Epoch Time: 9.05s | Total Time: 526.44s
Epoch 57/150 | Train Loss: 0.0957 (KL: 0.0136) | Val Loss: 0.0935 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0023 | Epoch Time: 9.07s | Total Time: 535.52s
Epoch 58/150 | Train Loss: 0.0956 (KL: 0.0135) | Val Loss: 0.0932 (KL: 0.0144) | KLw: 0.100 | Loss Diff : 0.0024 | Epoch Time: 9.06s | Total Time: 544.58s
Epoch 59/150 | Train Loss: 0.0955 (KL: 0.0136) | Val Loss: 0.0917 (KL: 0.0093) | KLw: 0.100 | Loss Diff : 0.0037 | Epoch Time: 9.05s | Total Time: 553.63s
Epoch 60/150 | Train Loss: 0.0951 (KL: 0.0133) | Val Loss: 0.0925 (KL: 0.0092) | KLw: 0.100 | Loss Diff : 0.0026 | Epoch Time: 9.07s | Total Time: 562.70s
Epoch 61/150 | Train Loss: 0.0952 (KL: 0.0133) | Val Loss: 0.0919 (KL: 0.0122) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.07s | Total Time: 571.77s
Epoch 62/150 | Train Loss: 0.0951 (KL: 0.0133) | Val Loss: 0.0918 (KL: 0.0096) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.06s | Total Time: 580.83s
Epoch 63/150 | Train Loss: 0.0952 (KL: 0.0135) | Val Loss: 0.0921 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0031 | Epoch Time: 9.05s | Total Time: 589.88s
Epoch 64/150 | Train Loss: 0.0948 (KL: 0.0134) | Val Loss: 0.0914 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.07s | Total Time: 598.95s
Epoch 65/150 | Train Loss: 0.0949 (KL: 0.0134) | Val Loss: 0.0923 (KL: 0.0067) | KLw: 0.100 | Loss Diff : 0.0026 | Epoch Time: 9.06s | Total Time: 608.00s
Epoch 66/150 | Train Loss: 0.0948 (KL: 0.0133) | Val Loss: 0.0918 (KL: 0.0133) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.08s | Total Time: 617.09s
Epoch 67/150 | Train Loss: 0.0945 (KL: 0.0133) | Val Loss: 0.0911 (KL: 0.0123) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.08s | Total Time: 626.17s
Epoch 68/150 | Train Loss: 0.0945 (KL: 0.0130) | Val Loss: 0.0939 (KL: 0.0060) | KLw: 0.100 | Loss Diff : 0.0006 | Epoch Time: 9.07s | Total Time: 635.24s
Epoch 69/150 | Train Loss: 0.0945 (KL: 0.0131) | Val Loss: 0.0926 (KL: 0.0084) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.07s | Total Time: 644.31s
Epoch 70/150 | Train Loss: 0.0944 (KL: 0.0132) | Val Loss: 0.0932 (KL: 0.0074) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.07s | Total Time: 653.38s
Epoch 71/150 | Train Loss: 0.0944 (KL: 0.0134) | Val Loss: 0.0932 (KL: 0.0055) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.07s | Total Time: 662.45s
Epoch 72/150 | Train Loss: 0.0943 (KL: 0.0133) | Val Loss: 0.0920 (KL: 0.0107) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.08s | Total Time: 671.53s
Epoch 73/150 | Train Loss: 0.0941 (KL: 0.0133) | Val Loss: 0.0913 (KL: 0.0107) | KLw: 0.100 | Loss Diff : 0.0028 | Epoch Time: 9.08s | Total Time: 680.61s
Epoch 74/150 | Train Loss: 0.0925 (KL: 0.0121) | Val Loss: 0.0903 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.07s | Total Time: 689.68s
Epoch 75/150 | Train Loss: 0.0920 (KL: 0.0122) | Val Loss: 0.0895 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0025 | Epoch Time: 9.07s | Total Time: 698.75s
Epoch 76/150 | Train Loss: 0.0920 (KL: 0.0124) | Val Loss: 0.0899 (KL: 0.0087) | KLw: 0.100 | Loss Diff : 0.0020 | Epoch Time: 9.05s | Total Time: 707.80s
Epoch 77/150 | Train Loss: 0.0918 (KL: 0.0122) | Val Loss: 0.0900 (KL: 0.0097) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.07s | Total Time: 716.87s
Epoch 78/150 | Train Loss: 0.0918 (KL: 0.0123) | Val Loss: 0.0900 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.08s | Total Time: 725.96s
Epoch 79/150 | Train Loss: 0.0917 (KL: 0.0122) | Val Loss: 0.0895 (KL: 0.0094) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.08s | Total Time: 735.04s
Epoch 80/150 | Train Loss: 0.0917 (KL: 0.0123) | Val Loss: 0.0896 (KL: 0.0104) | KLw: 0.100 | Loss Diff : 0.0021 | Epoch Time: 9.07s | Total Time: 744.10s
Epoch 81/150 | Train Loss: 0.0917 (KL: 0.0121) | Val Loss: 0.0904 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.05s | Total Time: 753.16s
Epoch 82/150 | Train Loss: 0.0915 (KL: 0.0121) | Val Loss: 0.0895 (KL: 0.0085) | KLw: 0.100 | Loss Diff : 0.0020 | Epoch Time: 9.09s | Total Time: 762.24s
Epoch 83/150 | Train Loss: 0.0915 (KL: 0.0122) | Val Loss: 0.0896 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.08s | Total Time: 771.33s
