# ---------- BATCH RECIEPT ---------- #
Job ID: 17762322
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:09:26 BST 2026
Job description: Kinematic Regression MLA with no kld
Node: node882.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:09:32
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 68/150 | Train Loss: 0.0990 | Val Loss: 0.0760 | Train - Val Loss Diff : 0.0230 | Mass Train Loss : 124.0585 | Mass Val Loss : 88.6395 | Epoch Time: 9.32s | Total Time: 634.33s
Epoch 69/150 | Train Loss: 0.0989 | Val Loss: 0.0762 | Train - Val Loss Diff : 0.0227 | Mass Train Loss : 123.7353 | Mass Val Loss : 96.9281 | Epoch Time: 9.34s | Total Time: 643.67s
Epoch 70/150 | Train Loss: 0.0974 | Val Loss: 0.0753 | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 122.7394 | Mass Val Loss : 91.1604 | Epoch Time: 9.34s | Total Time: 653.01s
Epoch 71/150 | Train Loss: 0.0973 | Val Loss: 0.0751 | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 122.6449 | Mass Val Loss : 95.4439 | Epoch Time: 9.33s | Total Time: 662.34s
Epoch 72/150 | Train Loss: 0.0972 | Val Loss: 0.0746 | Train - Val Loss Diff : 0.0226 | Mass Train Loss : 122.7070 | Mass Val Loss : 88.3505 | Epoch Time: 9.32s | Total Time: 671.66s
Epoch 73/150 | Train Loss: 0.0973 | Val Loss: 0.0742 | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 122.7174 | Mass Val Loss : 92.7782 | Epoch Time: 9.29s | Total Time: 680.95s
Epoch 74/150 | Train Loss: 0.0971 | Val Loss: 0.0744 | Train - Val Loss Diff : 0.0227 | Mass Train Loss : 122.5838 | Mass Val Loss : 90.1339 | Epoch Time: 9.26s | Total Time: 690.22s
Epoch 75/150 | Train Loss: 0.0972 | Val Loss: 0.0755 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 122.6040 | Mass Val Loss : 90.8051 | Epoch Time: 9.30s | Total Time: 699.52s
Epoch 76/150 | Train Loss: 0.0971 | Val Loss: 0.0760 | Train - Val Loss Diff : 0.0212 | Mass Train Loss : 122.5250 | Mass Val Loss : 87.6158 | Epoch Time: 9.30s | Total Time: 708.82s
Epoch 77/150 | Train Loss: 0.0971 | Val Loss: 0.0755 | Train - Val Loss Diff : 0.0216 | Mass Train Loss : 122.5306 | Mass Val Loss : 93.0503 | Epoch Time: 9.39s | Total Time: 718.21s
Epoch 78/150 | Train Loss: 0.0971 | Val Loss: 0.0744 | Train - Val Loss Diff : 0.0227 | Mass Train Loss : 122.4577 | Mass Val Loss : 92.2434 | Epoch Time: 9.32s | Total Time: 727.53s
Epoch 79/150 | Train Loss: 0.0970 | Val Loss: 0.0750 | Train - Val Loss Diff : 0.0221 | Mass Train Loss : 122.5273 | Mass Val Loss : 97.5356 | Epoch Time: 9.29s | Total Time: 736.81s
Epoch 80/150 | Train Loss: 0.0962 | Val Loss: 0.0744 | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 121.8729 | Mass Val Loss : 88.6934 | Epoch Time: 9.29s | Total Time: 746.10s
Epoch 81/150 | Train Loss: 0.0962 | Val Loss: 0.0735 | Train - Val Loss Diff : 0.0226 | Mass Train Loss : 121.9174 | Mass Val Loss : 87.5556 | Epoch Time: 9.33s | Total Time: 755.43s
Epoch 82/150 | Train Loss: 0.0961 | Val Loss: 0.0746 | Train - Val Loss Diff : 0.0215 | Mass Train Loss : 121.8347 | Mass Val Loss : 90.1924 | Epoch Time: 9.35s | Total Time: 764.78s
Epoch 83/150 | Train Loss: 0.0961 | Val Loss: 0.0740 | Train - Val Loss Diff : 0.0221 | Mass Train Loss : 121.8450 | Mass Val Loss : 88.0475 | Epoch Time: 9.31s | Total Time: 774.09s
Epoch 84/150 | Train Loss: 0.0961 | Val Loss: 0.0738 | Train - Val Loss Diff : 0.0223 | Mass Train Loss : 121.7685 | Mass Val Loss : 85.5513 | Epoch Time: 9.37s | Total Time: 783.45s
Epoch 85/150 | Train Loss: 0.0961 | Val Loss: 0.0750 | Train - Val Loss Diff : 0.0210 | Mass Train Loss : 121.6568 | Mass Val Loss : 88.8500 | Epoch Time: 9.40s | Total Time: 792.85s
Epoch 86/150 | Train Loss: 0.0960 | Val Loss: 0.0759 | Train - Val Loss Diff : 0.0201 | Mass Train Loss : 121.7801 | Mass Val Loss : 87.2848 | Epoch Time: 9.33s | Total Time: 802.19s
Epoch 87/150 | Train Loss: 0.0961 | Val Loss: 0.0741 | Train - Val Loss Diff : 0.0219 | Mass Train Loss : 121.7372 | Mass Val Loss : 89.0418 | Epoch Time: 9.37s | Total Time: 811.56s
Epoch 88/150 | Train Loss: 0.0956 | Val Loss: 0.0741 | Train - Val Loss Diff : 0.0214 | Mass Train Loss : 121.3756 | Mass Val Loss : 87.3981 | Epoch Time: 9.30s | Total Time: 820.87s
Epoch 89/150 | Train Loss: 0.0956 | Val Loss: 0.0738 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 121.3515 | Mass Val Loss : 90.4847 | Epoch Time: 9.32s | Total Time: 830.19s
Epoch 90/150 | Train Loss: 0.0954 | Val Loss: 0.0734 | Train - Val Loss Diff : 0.0220 | Mass Train Loss : 121.3704 | Mass Val Loss : 87.6079 | Epoch Time: 9.34s | Total Time: 839.53s
Epoch 91/150 | Train Loss: 0.0955 | Val Loss: 0.0737 | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 121.3170 | Mass Val Loss : 87.3582 | Epoch Time: 9.35s | Total Time: 848.88s
Epoch 92/150 | Train Loss: 0.0955 | Val Loss: 0.0739 | Train - Val Loss Diff : 0.0216 | Mass Train Loss : 121.2812 | Mass Val Loss : 87.8267 | Epoch Time: 9.33s | Total Time: 858.21s
Epoch 93/150 | Train Loss: 0.0955 | Val Loss: 0.0741 | Train - Val Loss Diff : 0.0213 | Mass Train Loss : 121.3933 | Mass Val Loss : 86.5517 | Epoch Time: 9.37s | Total Time: 867.58s
Epoch 94/150 | Train Loss: 0.0955 | Val Loss: 0.0741 | Train - Val Loss Diff : 0.0214 | Mass Train Loss : 121.3604 | Mass Val Loss : 90.1998 | Epoch Time: 9.34s | Total Time: 876.91s
Epoch 95/150 | Train Loss: 0.0955 | Val Loss: 0.0732 | Train - Val Loss Diff : 0.0223 | Mass Train Loss : 121.3070 | Mass Val Loss : 88.2811 | Epoch Time: 9.35s | Total Time: 886.27s
Epoch 96/150 | Train Loss: 0.0954 | Val Loss: 0.0737 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 121.2423 | Mass Val Loss : 86.2484 | Epoch Time: 9.32s | Total Time: 895.58s
Epoch 97/150 | Train Loss: 0.0954 | Val Loss: 0.0741 | Train - Val Loss Diff : 0.0213 | Mass Train Loss : 121.2763 | Mass Val Loss : 88.4756 | Epoch Time: 9.33s | Total Time: 904.91s
Epoch 98/150 | Train Loss: 0.0954 | Val Loss: 0.0738 | Train - Val Loss Diff : 0.0216 | Mass Train Loss : 121.2781 | Mass Val Loss : 89.3998 | Epoch Time: 9.37s | Total Time: 914.27s
Epoch 99/150 | Train Loss: 0.0954 | Val Loss: 0.0736 | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 121.2240 | Mass Val Loss : 87.9772 | Epoch Time: 9.35s | Total Time: 923.63s
Epoch 100/150 | Train Loss: 0.0954 | Val Loss: 0.0737 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 121.1855 | Mass Val Loss : 87.7688 | Epoch Time: 9.36s | Total Time: 932.99s
Epoch 101/150 | Train Loss: 0.0954 | Val Loss: 0.0742 | Train - Val Loss Diff : 0.0212 | Mass Train Loss : 121.1896 | Mass Val Loss : 88.8937 | Epoch Time: 9.34s | Total Time: 942.32s
Epoch 102/150 | Train Loss: 0.0952 | Val Loss: 0.0736 | Train - Val Loss Diff : 0.0216 | Mass Train Loss : 121.1070 | Mass Val Loss : 87.1850 | Epoch Time: 9.33s | Total Time: 951.66s
Epoch 103/150 | Train Loss: 0.0951 | Val Loss: 0.0734 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 120.9898 | Mass Val Loss : 87.9452 | Epoch Time: 9.41s | Total Time: 961.07s
Epoch 104/150 | Train Loss: 0.0951 | Val Loss: 0.0735 | Train - Val Loss Diff : 0.0216 | Mass Train Loss : 121.0126 | Mass Val Loss : 89.0815 | Epoch Time: 9.34s | Total Time: 970.41s
Epoch 105/150 | Train Loss: 0.0951 | Val Loss: 0.0732 | Train - Val Loss Diff : 0.0219 | Mass Train Loss : 120.9904 | Mass Val Loss : 87.6118 | Epoch Time: 9.36s | Total Time: 979.77s
Epoch 106/150 | Train Loss: 0.0951 | Val Loss: 0.0732 | Train - Val Loss Diff : 0.0219 | Mass Train Loss : 121.0530 | Mass Val Loss : 88.0379 | Epoch Time: 9.39s | Total Time: 989.16s
Epoch 107/150 | Train Loss: 0.0951 | Val Loss: 0.0734 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 121.0063 | Mass Val Loss : 88.1279 | Epoch Time: 9.36s | Total Time: 998.52s
Epoch 108/150 | Train Loss: 0.0950 | Val Loss: 0.0734 | Train - Val Loss Diff : 0.0215 | Mass Train Loss : 120.8513 | Mass Val Loss : 88.1064 | Epoch Time: 9.37s | Total Time: 1007.89s
Epoch 109/150 | Train Loss: 0.0949 | Val Loss: 0.0736 | Train - Val Loss Diff : 0.0213 | Mass Train Loss : 120.9147 | Mass Val Loss : 87.3432 | Epoch Time: 9.39s | Total Time: 1017.28s
Epoch 110/150 | Train Loss: 0.0949 | Val Loss: 0.0732 | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 120.8204 | Mass Val Loss : 88.0580 | Epoch Time: 9.27s | Total Time: 1026.55s
