# ---------- BATCH RECIEPT ---------- #
Job ID: 17762331
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:10:53 BST 2026
Job description: Kinematic Regression MLA with no scaling
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:10:59
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 38/150 | Train Loss: 0.1017 (KL: 0.0126) | Val Loss: 0.0799 (KL: 0.0079) | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 124.5497 | Mass Val Loss : 100.6824 | Epoch Time: 11.74s | Total Time: 447.55s
Epoch 39/150 | Train Loss: 0.1015 (KL: 0.0124) | Val Loss: 0.0777 (KL: 0.0121) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 124.4517 | Mass Val Loss : 92.3310 | Epoch Time: 11.75s | Total Time: 459.30s
Epoch 40/150 | Train Loss: 0.1014 (KL: 0.0125) | Val Loss: 0.0768 (KL: 0.0095) | Train - Val Loss Diff : 0.0246 | Mass Train Loss : 124.3723 | Mass Val Loss : 89.8175 | Epoch Time: 11.74s | Total Time: 471.04s
Epoch 41/150 | Train Loss: 0.1014 (KL: 0.0125) | Val Loss: 0.0775 (KL: 0.0125) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 124.3627 | Mass Val Loss : 89.0742 | Epoch Time: 11.76s | Total Time: 482.80s
Epoch 42/150 | Train Loss: 0.1013 (KL: 0.0125) | Val Loss: 0.0773 (KL: 0.0101) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 124.1506 | Mass Val Loss : 94.9933 | Epoch Time: 11.76s | Total Time: 494.56s
Epoch 43/150 | Train Loss: 0.1012 (KL: 0.0124) | Val Loss: 0.0772 (KL: 0.0098) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 124.0786 | Mass Val Loss : 94.4610 | Epoch Time: 11.75s | Total Time: 506.31s
Epoch 44/150 | Train Loss: 0.1012 (KL: 0.0124) | Val Loss: 0.0763 (KL: 0.0112) | Train - Val Loss Diff : 0.0248 | Mass Train Loss : 123.9588 | Mass Val Loss : 90.4701 | Epoch Time: 11.75s | Total Time: 518.06s
Epoch 45/150 | Train Loss: 0.1011 (KL: 0.0124) | Val Loss: 0.0772 (KL: 0.0135) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 124.0614 | Mass Val Loss : 85.7329 | Epoch Time: 11.76s | Total Time: 529.82s
Epoch 46/150 | Train Loss: 0.1011 (KL: 0.0125) | Val Loss: 0.0779 (KL: 0.0132) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 124.0421 | Mass Val Loss : 93.2975 | Epoch Time: 11.74s | Total Time: 541.56s
Epoch 47/150 | Train Loss: 0.1010 (KL: 0.0124) | Val Loss: 0.0774 (KL: 0.0103) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 124.1409 | Mass Val Loss : 92.9131 | Epoch Time: 11.76s | Total Time: 553.32s
Epoch 48/150 | Train Loss: 0.1009 (KL: 0.0125) | Val Loss: 0.0785 (KL: 0.0104) | Train - Val Loss Diff : 0.0224 | Mass Train Loss : 123.7556 | Mass Val Loss : 95.5610 | Epoch Time: 11.75s | Total Time: 565.07s
Epoch 49/150 | Train Loss: 0.1008 (KL: 0.0124) | Val Loss: 0.0775 (KL: 0.0095) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 123.9294 | Mass Val Loss : 93.2583 | Epoch Time: 11.76s | Total Time: 576.83s
Epoch 50/150 | Train Loss: 0.1008 (KL: 0.0124) | Val Loss: 0.0763 (KL: 0.0102) | Train - Val Loss Diff : 0.0245 | Mass Train Loss : 123.7992 | Mass Val Loss : 91.7223 | Epoch Time: 11.76s | Total Time: 588.59s
Epoch 51/150 | Train Loss: 0.1007 (KL: 0.0123) | Val Loss: 0.0770 (KL: 0.0098) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 123.6410 | Mass Val Loss : 93.4771 | Epoch Time: 11.79s | Total Time: 600.38s
Epoch 52/150 | Train Loss: 0.1008 (KL: 0.0123) | Val Loss: 0.0769 (KL: 0.0119) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 123.6318 | Mass Val Loss : 86.9541 | Epoch Time: 11.76s | Total Time: 612.13s
Epoch 53/150 | Train Loss: 0.1007 (KL: 0.0124) | Val Loss: 0.0764 (KL: 0.0121) | Train - Val Loss Diff : 0.0243 | Mass Train Loss : 123.4419 | Mass Val Loss : 89.1305 | Epoch Time: 11.77s | Total Time: 623.90s
Epoch 54/150 | Train Loss: 0.1005 (KL: 0.0123) | Val Loss: 0.0769 (KL: 0.0118) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 123.4355 | Mass Val Loss : 90.4982 | Epoch Time: 11.75s | Total Time: 635.65s
