# ---------- BATCH RECIEPT ---------- #
Job ID: 17760745
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:31:48 BST 2026
Job description: Kinematic Regression MHA with no mass loss
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:31:58
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 37/150 | Train Loss: 0.0954 (KL: 0.0139) | Val Loss: 0.0752 (KL: 0.0129) | Train - Val Loss Diff : 0.0202 | Epoch Time: 10.53s | Total Time: 389.73s
Epoch 38/150 | Train Loss: 0.0952 (KL: 0.0139) | Val Loss: 0.0749 (KL: 0.0121) | Train - Val Loss Diff : 0.0203 | Epoch Time: 10.53s | Total Time: 400.26s
Epoch 39/150 | Train Loss: 0.0951 (KL: 0.0139) | Val Loss: 0.0764 (KL: 0.0102) | Train - Val Loss Diff : 0.0188 | Epoch Time: 10.53s | Total Time: 410.79s
Epoch 40/150 | Train Loss: 0.0952 (KL: 0.0140) | Val Loss: 0.0766 (KL: 0.0113) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.53s | Total Time: 421.32s
Epoch 41/150 | Train Loss: 0.0950 (KL: 0.0140) | Val Loss: 0.0754 (KL: 0.0144) | Train - Val Loss Diff : 0.0197 | Epoch Time: 10.54s | Total Time: 431.86s
Epoch 42/150 | Train Loss: 0.0949 (KL: 0.0139) | Val Loss: 0.0757 (KL: 0.0128) | Train - Val Loss Diff : 0.0192 | Epoch Time: 10.54s | Total Time: 442.39s
Epoch 43/150 | Train Loss: 0.0948 (KL: 0.0138) | Val Loss: 0.0746 (KL: 0.0122) | Train - Val Loss Diff : 0.0202 | Epoch Time: 10.54s | Total Time: 452.94s
Epoch 44/150 | Train Loss: 0.0948 (KL: 0.0138) | Val Loss: 0.0744 (KL: 0.0131) | Train - Val Loss Diff : 0.0204 | Epoch Time: 10.53s | Total Time: 463.46s
Epoch 45/150 | Train Loss: 0.0947 (KL: 0.0138) | Val Loss: 0.0755 (KL: 0.0132) | Train - Val Loss Diff : 0.0192 | Epoch Time: 10.51s | Total Time: 473.97s
Epoch 46/150 | Train Loss: 0.0946 (KL: 0.0139) | Val Loss: 0.0751 (KL: 0.0125) | Train - Val Loss Diff : 0.0195 | Epoch Time: 10.52s | Total Time: 484.49s
Epoch 47/150 | Train Loss: 0.0945 (KL: 0.0137) | Val Loss: 0.0744 (KL: 0.0106) | Train - Val Loss Diff : 0.0201 | Epoch Time: 10.52s | Total Time: 495.01s
Epoch 48/150 | Train Loss: 0.0945 (KL: 0.0138) | Val Loss: 0.0751 (KL: 0.0106) | Train - Val Loss Diff : 0.0194 | Epoch Time: 10.53s | Total Time: 505.54s
Epoch 49/150 | Train Loss: 0.0945 (KL: 0.0138) | Val Loss: 0.0754 (KL: 0.0135) | Train - Val Loss Diff : 0.0191 | Epoch Time: 10.53s | Total Time: 516.07s
Epoch 50/150 | Train Loss: 0.0944 (KL: 0.0138) | Val Loss: 0.0751 (KL: 0.0113) | Train - Val Loss Diff : 0.0193 | Epoch Time: 10.56s | Total Time: 526.63s
Epoch 51/150 | Train Loss: 0.0943 (KL: 0.0137) | Val Loss: 0.0744 (KL: 0.0117) | Train - Val Loss Diff : 0.0199 | Epoch Time: 10.50s | Total Time: 537.13s
Epoch 52/150 | Train Loss: 0.0942 (KL: 0.0138) | Val Loss: 0.0757 (KL: 0.0131) | Train - Val Loss Diff : 0.0185 | Epoch Time: 10.53s | Total Time: 547.66s
Epoch 53/150 | Train Loss: 0.0942 (KL: 0.0138) | Val Loss: 0.0745 (KL: 0.0136) | Train - Val Loss Diff : 0.0197 | Epoch Time: 10.51s | Total Time: 558.17s
Epoch 54/150 | Train Loss: 0.0921 (KL: 0.0129) | Val Loss: 0.0724 (KL: 0.0137) | Train - Val Loss Diff : 0.0197 | Epoch Time: 10.52s | Total Time: 568.69s
Epoch 55/150 | Train Loss: 0.0919 (KL: 0.0129) | Val Loss: 0.0721 (KL: 0.0120) | Train - Val Loss Diff : 0.0198 | Epoch Time: 10.53s | Total Time: 579.22s
Epoch 56/150 | Train Loss: 0.0919 (KL: 0.0130) | Val Loss: 0.0729 (KL: 0.0131) | Train - Val Loss Diff : 0.0189 | Epoch Time: 10.51s | Total Time: 589.73s
Epoch 57/150 | Train Loss: 0.0918 (KL: 0.0130) | Val Loss: 0.0718 (KL: 0.0104) | Train - Val Loss Diff : 0.0200 | Epoch Time: 10.53s | Total Time: 600.26s
Epoch 58/150 | Train Loss: 0.0918 (KL: 0.0130) | Val Loss: 0.0722 (KL: 0.0125) | Train - Val Loss Diff : 0.0196 | Epoch Time: 10.52s | Total Time: 610.78s
Epoch 59/150 | Train Loss: 0.0916 (KL: 0.0129) | Val Loss: 0.0724 (KL: 0.0108) | Train - Val Loss Diff : 0.0192 | Epoch Time: 10.53s | Total Time: 621.31s
Epoch 60/150 | Train Loss: 0.0917 (KL: 0.0130) | Val Loss: 0.0721 (KL: 0.0112) | Train - Val Loss Diff : 0.0196 | Epoch Time: 10.54s | Total Time: 631.86s
Epoch 61/150 | Train Loss: 0.0916 (KL: 0.0129) | Val Loss: 0.0726 (KL: 0.0136) | Train - Val Loss Diff : 0.0190 | Epoch Time: 10.53s | Total Time: 642.39s
Epoch 62/150 | Train Loss: 0.0915 (KL: 0.0128) | Val Loss: 0.0723 (KL: 0.0119) | Train - Val Loss Diff : 0.0192 | Epoch Time: 10.51s | Total Time: 652.91s
