Epoch 54/150 | Train Loss: 0.0936 | Val Loss: 0.0900 | Loss Diff : 0.0036 | Epoch Time: 8.62s | Total Time: 465.85s
Epoch 55/150 | Train Loss: 0.0934 | Val Loss: 0.0904 | Loss Diff : 0.0031 | Epoch Time: 8.65s | Total Time: 474.50s
Epoch 56/150 | Train Loss: 0.0933 | Val Loss: 0.0907 | Loss Diff : 0.0027 | Epoch Time: 8.61s | Total Time: 483.12s
Epoch 57/150 | Train Loss: 0.0934 | Val Loss: 0.0902 | Loss Diff : 0.0031 | Epoch Time: 8.64s | Total Time: 491.75s
Epoch 58/150 | Train Loss: 0.0932 | Val Loss: 0.0903 | Loss Diff : 0.0029 | Epoch Time: 8.63s | Total Time: 500.38s
Epoch 59/150 | Train Loss: 0.0913 | Val Loss: 0.0881 | Loss Diff : 0.0031 | Epoch Time: 8.61s | Total Time: 508.98s
Epoch 60/150 | Train Loss: 0.0911 | Val Loss: 0.0881 | Loss Diff : 0.0030 | Epoch Time: 8.64s | Total Time: 517.63s
Epoch 61/150 | Train Loss: 0.0909 | Val Loss: 0.0891 | Loss Diff : 0.0018 | Epoch Time: 8.64s | Total Time: 526.27s
Epoch 62/150 | Train Loss: 0.0909 | Val Loss: 0.0888 | Loss Diff : 0.0020 | Epoch Time: 8.61s | Total Time: 534.88s
Epoch 63/150 | Train Loss: 0.0907 | Val Loss: 0.0887 | Loss Diff : 0.0021 | Epoch Time: 8.60s | Total Time: 543.48s
Epoch 64/150 | Train Loss: 0.0906 | Val Loss: 0.0881 | Loss Diff : 0.0025 | Epoch Time: 8.60s | Total Time: 552.08s
Epoch 65/150 | Train Loss: 0.0906 | Val Loss: 0.0880 | Loss Diff : 0.0026 | Epoch Time: 8.61s | Total Time: 560.70s
Epoch 66/150 | Train Loss: 0.0906 | Val Loss: 0.0883 | Loss Diff : 0.0023 | Epoch Time: 8.61s | Total Time: 569.31s
Epoch 67/150 | Train Loss: 0.0905 | Val Loss: 0.0881 | Loss Diff : 0.0024 | Epoch Time: 8.65s | Total Time: 577.96s
Epoch 68/150 | Train Loss: 0.0904 | Val Loss: 0.0883 | Loss Diff : 0.0021 | Epoch Time: 8.63s | Total Time: 586.59s
Epoch 69/150 | Train Loss: 0.0904 | Val Loss: 0.0881 | Loss Diff : 0.0023 | Epoch Time: 8.62s | Total Time: 595.21s
Epoch 70/150 | Train Loss: 0.0903 | Val Loss: 0.0882 | Loss Diff : 0.0021 | Epoch Time: 8.62s | Total Time: 603.83s
Epoch 71/150 | Train Loss: 0.0902 | Val Loss: 0.0879 | Loss Diff : 0.0023 | Epoch Time: 8.62s | Total Time: 612.45s
Epoch 72/150 | Train Loss: 0.0901 | Val Loss: 0.0880 | Loss Diff : 0.0021 | Epoch Time: 8.64s | Total Time: 621.09s
Epoch 73/150 | Train Loss: 0.0901 | Val Loss: 0.0879 | Loss Diff : 0.0022 | Epoch Time: 8.64s | Total Time: 629.73s
Epoch 74/150 | Train Loss: 0.0901 | Val Loss: 0.0880 | Loss Diff : 0.0021 | Epoch Time: 8.63s | Total Time: 638.36s
Epoch 75/150 | Train Loss: 0.0901 | Val Loss: 0.0878 | Loss Diff : 0.0023 | Epoch Time: 8.61s | Total Time: 646.97s
Epoch 76/150 | Train Loss: 0.0900 | Val Loss: 0.0886 | Loss Diff : 0.0013 | Epoch Time: 8.63s | Total Time: 655.60s
Epoch 77/150 | Train Loss: 0.0900 | Val Loss: 0.0880 | Loss Diff : 0.0020 | Epoch Time: 8.64s | Total Time: 664.24s
Epoch 78/150 | Train Loss: 0.0899 | Val Loss: 0.0877 | Loss Diff : 0.0022 | Epoch Time: 8.64s | Total Time: 672.88s
Epoch 79/150 | Train Loss: 0.0898 | Val Loss: 0.0877 | Loss Diff : 0.0021 | Epoch Time: 8.63s | Total Time: 681.51s
Epoch 80/150 | Train Loss: 0.0897 | Val Loss: 0.0874 | Loss Diff : 0.0023 | Epoch Time: 8.62s | Total Time: 690.14s
Epoch 81/150 | Train Loss: 0.0897 | Val Loss: 0.0880 | Loss Diff : 0.0017 | Epoch Time: 8.63s | Total Time: 698.77s
Epoch 82/150 | Train Loss: 0.0897 | Val Loss: 0.0882 | Loss Diff : 0.0015 | Epoch Time: 8.60s | Total Time: 707.37s
Epoch 83/150 | Train Loss: 0.0897 | Val Loss: 0.0877 | Loss Diff : 0.0020 | Epoch Time: 8.65s | Total Time: 716.02s
Epoch 84/150 | Train Loss: 0.0897 | Val Loss: 0.0877 | Loss Diff : 0.0020 | Epoch Time: 8.64s | Total Time: 724.65s
Epoch 85/150 | Train Loss: 0.0896 | Val Loss: 0.0874 | Loss Diff : 0.0022 | Epoch Time: 8.61s | Total Time: 733.27s
Epoch 86/150 | Train Loss: 0.0896 | Val Loss: 0.0883 | Loss Diff : 0.0013 | Epoch Time: 8.61s | Total Time: 741.88s
Epoch 87/150 | Train Loss: 0.0895 | Val Loss: 0.0877 | Loss Diff : 0.0018 | Epoch Time: 8.66s | Total Time: 750.54s
Epoch 88/150 | Train Loss: 0.0895 | Val Loss: 0.0875 | Loss Diff : 0.0020 | Epoch Time: 8.63s | Total Time: 759.16s
Epoch 89/150 | Train Loss: 0.0895 | Val Loss: 0.0878 | Loss Diff : 0.0017 | Epoch Time: 8.59s | Total Time: 767.76s
Epoch 90/150 | Train Loss: 0.0894 | Val Loss: 0.0876 | Loss Diff : 0.0018 | Epoch Time: 8.62s | Total Time: 776.38s
Epoch 91/150 | Train Loss: 0.0895 | Val Loss: 0.0876 | Loss Diff : 0.0018 | Epoch Time: 8.61s | Total Time: 784.99s
Epoch 92/150 | Train Loss: 0.0885 | Val Loss: 0.0868 | Loss Diff : 0.0017 | Epoch Time: 8.59s | Total Time: 793.59s
Epoch 93/150 | Train Loss: 0.0883 | Val Loss: 0.0869 | Loss Diff : 0.0014 | Epoch Time: 8.63s | Total Time: 802.22s
Epoch 94/150 | Train Loss: 0.0882 | Val Loss: 0.0870 | Loss Diff : 0.0012 | Epoch Time: 8.62s | Total Time: 810.83s
Epoch 95/150 | Train Loss: 0.0882 | Val Loss: 0.0868 | Loss Diff : 0.0013 | Epoch Time: 8.65s | Total Time: 819.48s
Epoch 96/150 | Train Loss: 0.0881 | Val Loss: 0.0867 | Loss Diff : 0.0015 | Epoch Time: 8.62s | Total Time: 828.10s
Epoch 97/150 | Train Loss: 0.0881 | Val Loss: 0.0869 | Loss Diff : 0.0012 | Epoch Time: 8.62s | Total Time: 836.72s
Epoch 98/150 | Train Loss: 0.0880 | Val Loss: 0.0869 | Loss Diff : 0.0011 | Epoch Time: 8.61s | Total Time: 845.34s
Epoch 99/150 | Train Loss: 0.0880 | Val Loss: 0.0867 | Loss Diff : 0.0013 | Epoch Time: 8.61s | Total Time: 853.95s
Epoch 100/150 | Train Loss: 0.0880 | Val Loss: 0.0869 | Loss Diff : 0.0012 | Epoch Time: 8.65s | Total Time: 862.60s
Epoch 101/150 | Train Loss: 0.0879 | Val Loss: 0.0867 | Loss Diff : 0.0012 | Epoch Time: 8.63s | Total Time: 871.24s
Epoch 102/150 | Train Loss: 0.0879 | Val Loss: 0.0873 | Loss Diff : 0.0005 | Epoch Time: 8.64s | Total Time: 879.88s
Epoch 103/150 | Train Loss: 0.0874 | Val Loss: 0.0865 | Loss Diff : 0.0009 | Epoch Time: 8.59s | Total Time: 888.47s
Epoch 104/150 | Train Loss: 0.0873 | Val Loss: 0.0867 | Loss Diff : 0.0006 | Epoch Time: 8.61s | Total Time: 897.08s
Epoch 105/150 | Train Loss: 0.0873 | Val Loss: 0.0865 | Loss Diff : 0.0007 | Epoch Time: 8.61s | Total Time: 905.70s
Epoch 106/150 | Train Loss: 0.0873 | Val Loss: 0.0862 | Loss Diff : 0.0010 | Epoch Time: 8.63s | Total Time: 914.32s
Epoch 107/150 | Train Loss: 0.0872 | Val Loss: 0.0867 | Loss Diff : 0.0006 | Epoch Time: 8.62s | Total Time: 922.94s
Epoch 108/150 | Train Loss: 0.0872 | Val Loss: 0.0864 | Loss Diff : 0.0007 | Epoch Time: 8.65s | Total Time: 931.60s
Epoch 109/150 | Train Loss: 0.0872 | Val Loss: 0.0864 | Loss Diff : 0.0007 | Epoch Time: 8.63s | Total Time: 940.22s
Epoch 110/150 | Train Loss: 0.0872 | Val Loss: 0.0864 | Loss Diff : 0.0008 | Epoch Time: 8.61s | Total Time: 948.84s
Epoch 111/150 | Train Loss: 0.0871 | Val Loss: 0.0862 | Loss Diff : 0.0009 | Epoch Time: 8.62s | Total Time: 957.46s
Epoch 112/150 | Train Loss: 0.0871 | Val Loss: 0.0865 | Loss Diff : 0.0006 | Epoch Time: 8.63s | Total Time: 966.09s
Epoch 113/150 | Train Loss: 0.0871 | Val Loss: 0.0867 | Loss Diff : 0.0004 | Epoch Time: 8.64s | Total Time: 974.73s
Epoch 114/150 | Train Loss: 0.0871 | Val Loss: 0.0866 | Loss Diff : 0.0006 | Epoch Time: 8.62s | Total Time: 983.35s
Epoch 115/150 | Train Loss: 0.0872 | Val Loss: 0.0863 | Loss Diff : 0.0008 | Epoch Time: 8.59s | Total Time: 991.94s
Epoch 116/150 | Train Loss: 0.0871 | Val Loss: 0.0863 | Loss Diff : 0.0008 | Epoch Time: 8.61s | Total Time: 1000.55s
Epoch 117/150 | Train Loss: 0.0870 | Val Loss: 0.0865 | Loss Diff : 0.0005 | Epoch Time: 8.61s | Total Time: 1009.17s
Epoch 118/150 | Train Loss: 0.0868 | Val Loss: 0.0862 | Loss Diff : 0.0006 | Epoch Time: 8.61s | Total Time: 1017.78s
Epoch 119/150 | Train Loss: 0.0867 | Val Loss: 0.0862 | Loss Diff : 0.0005 | Epoch Time: 8.60s | Total Time: 1026.38s
Epoch 120/150 | Train Loss: 0.0868 | Val Loss: 0.0863 | Loss Diff : 0.0004 | Epoch Time: 8.60s | Total Time: 1034.98s
Epoch 121/150 | Train Loss: 0.0867 | Val Loss: 0.0862 | Loss Diff : 0.0005 | Epoch Time: 8.60s | Total Time: 1043.58s
Epoch 122/150 | Train Loss: 0.0868 | Val Loss: 0.0863 | Loss Diff : 0.0004 | Epoch Time: 8.62s | Total Time: 1052.20s
Epoch 123/150 | Train Loss: 0.0867 | Val Loss: 0.0866 | Loss Diff : 0.0001 | Epoch Time: 8.58s | Total Time: 1060.78s
Epoch 124/150 | Train Loss: 0.0867 | Val Loss: 0.0863 | Loss Diff : 0.0004 | Epoch Time: 8.61s | Total Time: 1069.39s
Epoch 125/150 | Train Loss: 0.0867 | Val Loss: 0.0863 | Loss Diff : 0.0004 | Epoch Time: 8.60s | Total Time: 1077.99s
Epoch 126/150 | Train Loss: 0.0865 | Val Loss: 0.0861 | Loss Diff : 0.0004 | Epoch Time: 8.61s | Total Time: 1086.60s
Epoch 127/150 | Train Loss: 0.0864 | Val Loss: 0.0861 | Loss Diff : 0.0002 | Epoch Time: 8.60s | Total Time: 1095.20s
Epoch 128/150 | Train Loss: 0.0865 | Val Loss: 0.0862 | Loss Diff : 0.0002 | Epoch Time: 8.58s | Total Time: 1103.78s
Epoch 129/150 | Train Loss: 0.0864 | Val Loss: 0.0861 | Loss Diff : 0.0003 | Epoch Time: 8.59s | Total Time: 1112.37s
Epoch 130/150 | Train Loss: 0.0864 | Val Loss: 0.0861 | Loss Diff : 0.0003 | Epoch Time: 8.63s | Total Time: 1121.00s
