# ---------- BATCH RECIEPT ---------- #
Job ID: 17762831
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:50:53 BST 2026
Job description: Direct Regression DNN
Node: node885.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:51:33
Using cuda device with number of GPUs: 1


============================================================
Beginning Training Loop
============================================================
Epoch 56/150 | Train Loss: 0.1132 | Val Loss: 0.1025 | Loss Diff : 0.0107 | Epoch Time: 4.12s | Total Time: 241.44s
Epoch 57/150 | Train Loss: 0.1131 | Val Loss: 0.1030 | Loss Diff : 0.0100 | Epoch Time: 4.22s | Total Time: 245.67s
Epoch 58/150 | Train Loss: 0.1131 | Val Loss: 0.1030 | Loss Diff : 0.0101 | Epoch Time: 4.18s | Total Time: 249.85s
Epoch 59/150 | Train Loss: 0.1130 | Val Loss: 0.1026 | Loss Diff : 0.0104 | Epoch Time: 4.39s | Total Time: 254.24s
Epoch 60/150 | Train Loss: 0.1130 | Val Loss: 0.1025 | Loss Diff : 0.0105 | Epoch Time: 4.08s | Total Time: 258.32s
Epoch 61/150 | Train Loss: 0.1130 | Val Loss: 0.1030 | Loss Diff : 0.0100 | Epoch Time: 4.44s | Total Time: 262.76s
Epoch 62/150 | Train Loss: 0.1129 | Val Loss: 0.1026 | Loss Diff : 0.0103 | Epoch Time: 3.98s | Total Time: 266.74s
Epoch 63/150 | Train Loss: 0.1130 | Val Loss: 0.1028 | Loss Diff : 0.0102 | Epoch Time: 4.47s | Total Time: 271.21s
Epoch 64/150 | Train Loss: 0.1128 | Val Loss: 0.1024 | Loss Diff : 0.0103 | Epoch Time: 4.35s | Total Time: 275.57s
Epoch 65/150 | Train Loss: 0.1129 | Val Loss: 0.1023 | Loss Diff : 0.0106 | Epoch Time: 4.13s | Total Time: 279.70s
Epoch 66/150 | Train Loss: 0.1129 | Val Loss: 0.1025 | Loss Diff : 0.0104 | Epoch Time: 3.99s | Total Time: 283.69s
Epoch 67/150 | Train Loss: 0.1129 | Val Loss: 0.1022 | Loss Diff : 0.0106 | Epoch Time: 4.07s | Total Time: 287.76s
Epoch 68/150 | Train Loss: 0.1128 | Val Loss: 0.1030 | Loss Diff : 0.0098 | Epoch Time: 4.28s | Total Time: 292.04s
Epoch 69/150 | Train Loss: 0.1128 | Val Loss: 0.1023 | Loss Diff : 0.0105 | Epoch Time: 4.24s | Total Time: 296.28s
Epoch 70/150 | Train Loss: 0.1129 | Val Loss: 0.1026 | Loss Diff : 0.0103 | Epoch Time: 4.28s | Total Time: 300.56s
Epoch 71/150 | Train Loss: 0.1127 | Val Loss: 0.1032 | Loss Diff : 0.0095 | Epoch Time: 4.04s | Total Time: 304.60s
Epoch 72/150 | Train Loss: 0.1128 | Val Loss: 0.1028 | Loss Diff : 0.0100 | Epoch Time: 4.54s | Total Time: 309.14s
Epoch 73/150 | Train Loss: 0.1127 | Val Loss: 0.1023 | Loss Diff : 0.0104 | Epoch Time: 4.05s | Total Time: 313.20s
Epoch 74/150 | Train Loss: 0.1126 | Val Loss: 0.1023 | Loss Diff : 0.0103 | Epoch Time: 4.02s | Total Time: 317.22s
Epoch 75/150 | Train Loss: 0.1124 | Val Loss: 0.1023 | Loss Diff : 0.0101 | Epoch Time: 4.37s | Total Time: 321.59s
Epoch 76/150 | Train Loss: 0.1124 | Val Loss: 0.1021 | Loss Diff : 0.0103 | Epoch Time: 4.29s | Total Time: 325.88s
Epoch 77/150 | Train Loss: 0.1124 | Val Loss: 0.1021 | Loss Diff : 0.0104 | Epoch Time: 4.33s | Total Time: 330.21s
